"STATION","NAME","DATE","PRCP","SNOW","SNWD","WDF2","WDF5","WSF2","WSF5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-11","0.00","0.0","0.0","  130","  150","17.0","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-12","0.06","0.0","0.0","   90","   90","19.9","25.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-13","0.00","0.0","0.0","   90","  100","15.0","19.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-14","0.01","0.0","0.0","  200","  200","18.1","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-15","0.00","0.0","0.0","  180","  170","17.0","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-16","0.00","0.0","0.0","  180","  190","21.0","25.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-17","0.28","0.0","0.0","  190","  190","21.9","29.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-18","0.02","0.0","0.0","  240","  240","25.1","29.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-19","0.00","0.0","0.0","  360","  350","19.9","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-20","0.00","0.0","0.0","  190","  190","18.1","21.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-21","0.89","0.0","0.0","  330","   40","23.0","31.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-22","0.00","0.0","0.0","  330","  320","16.1","19.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-23","0.09","0.0","0.0","  330","  330","19.9","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-24","0.00","0.0","0.0","  170","  190","17.0","19.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-25","0.46","0.0","0.0","  190","  190","21.0","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-26","0.00","0.0","0.0","   30","   20","21.0","23.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-27","0.00","0.0","0.0","  190","  190","23.0","29.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-28","0.09","0.0","0.0","  340","  340","17.0","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-29","0.28","0.0","0.0","  180","  170","25.9","32.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-30","0.00","0.0","0.0","  320","  310","25.1","33.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-31","0.00","0.0","0.0","  340","  340","21.0","25.1"
